developer,success,total_reviews,average_playtime,review_score,num_games
Zeiva Inc,130.6,144.9,134.3,0.7896603955809246,10
Jujubee S.A.,129.4,227.4,0.0,0.4935915208112161,5
ColloseusX,129.0,223.0,124.125,0.4962761311524213,8
Mommy's Best Games,126.0,147.83333333333334,176.33333333333334,0.8560138759081014,6
OnSkull Games,122.2,165.4,51.6,0.7353302109618337,5
Overflow,121.4,138.2,0.0,0.7838321679686229,5
凝冰剑斩,119.14285714285714,124.71428571428571,0.0,0.9433309637393446,7
Robert Alvarez,116.6,150.2,76.4,0.7754373361629588,5
Eversim,115.42857142857143,246.42857142857142,92.85714285714286,0.44538169440116454,7
Soldak Entertainment,113.6,135.2,0.0,0.816561355072003,5
Digital Eel,112.4,166.6,0.0,0.7157008380658135,5
JoyBits Ltd.,111.7,164.3,94.9,0.6282445679872615,10
Axis Games,110.6,155.6,0.2,0.7573680823680824,5
Fantasy Flight Games,108.6,133.2,0.0,0.7696730586389677,5
Steppe Hare Studio,107.6,125.8,0.0,0.8309513379226641,5
Animation Arts,107.6,136.6,6.8,0.7562454717145417,5
ASTRO PORT,106.125,121.25,24.875,0.9077124074543548,8
Darkling Room,105.0,143.2,0.0,0.7249794919327315,5
World-Loom,103.5,122.16666666666667,0.0,0.7824647093837213,6
Deck 13,102.6,169.2,154.6,0.5920273742856702,5
Ithaqua Labs,102.4,111.6,0.0,0.9049119205409193,5
Big Fat Simulations Inc.,100.8,125.4,0.0,0.7803779934148675,5
Sierra,99.85714285714286,127.14285714285714,16.285714285714285,0.770291040337083,7
Alawar Entertainment,99.5625,121.0,12.25,0.847686662269246,16
VIS-Games,98.26315789473684,159.94736842105263,0.05263157894736842,0.5160291992626984,19
NovaLogic,98.07142857142857,116.07142857142857,0.0,0.8058140977406482,14
RosePortal Games,96.8,140.6,29.0,0.6459708583961914,5
"Tilted Mill Entertainment, Inc.",95.4,133.6,0.0,0.7278624008954665,5
Straywire,95.0,131.33333333333334,116.77777777777777,0.7404002179971441,9
Anthony Case,93.4,108.2,0.0,0.8533188598779159,5
Humongous Entertainment,93.38888888888889,101.75,7.194444444444445,0.8666484481659033,36
"Fancy Bytes, Reactor",92.33333333333333,141.16666666666666,0.0,0.4709524377138014,6
GexagonVR,90.2,109.2,8.8,0.7290907811258911,5
Crankage Games,89.6,93.2,0.0,0.9626200701607722,5
Big Ant Studios,89.18181818181819,118.54545454545455,0.0,0.6964365140558109,11
The House of Fables,89.125,100.25,0.0,0.8045703615666302,8
Zetsubou,88.0,99.4,37.8,0.8950000027356847,5
Russpuppy,87.625,106.0,14.75,0.820940574606322,8
GDNomad,87.0,166.625,247.75,0.5204925240908926,8
Bmc Studio,85.54545454545455,121.54545454545455,68.18181818181819,0.7090557625720219,11
Team 6 Studios,84.71428571428571,451.42857142857144,3.2857142857142856,0.41571489252363003,7
Studio Saizensen,83.16666666666667,108.33333333333333,79.5,0.8140435742029842,6
Tin Man Games,83.15384615384616,104.0,49.76923076923077,0.8140260372018944,13
Tonguç Bodur,82.54545454545455,130.8181818181818,29.545454545454547,0.7086559266539718,11
WarfareSims,82.5,97.83333333333333,0.0,0.8014384963256145,6
Anarchy Enterprises,82.3,118.8,249.2,0.5971415659043697,10
Cleverweek,82.25,129.375,249.375,0.6001432088396117,8
Fallen Tree Games Ltd,81.83333333333333,84.5,34.5,0.9625321857919481,6
Anatoliy Loginovskikh,80.88888888888889,113.16666666666667,103.05555555555556,0.7410418378983572,18
Enlight Software Limited,80.75,100.5,0.0,0.8248308266010614,8
Dogenzaka Lab,80.5,106.2,0.0,0.7136264525875132,10
1C:InoCo,80.4,113.8,5.4,0.7083684131959994,5
Firehawk Studios,80.33333333333333,146.33333333333334,38.666666666666664,0.5404402662314195,6
Sproing,80.2,123.4,0.0,0.6627380945695249,5
Zojoi,79.375,94.125,81.875,0.7535328126465897,8
Actalogic,78.66666666666667,314.5,47.833333333333336,0.28213957973350295,6
Auroch Digital,77.4,124.4,60.6,0.6704258330377801,5
Sixteen Tons Entertainment,77.2,122.4,387.0,0.6961161737422241,5
Paleno Games,77.0,91.66666666666667,0.0,0.7549726971923768,6
Astronomic Games,76.27272727272727,109.0909090909091,144.1818181818182,0.7988676627156889,11
Pilgrim Adventures,76.14285714285714,86.28571428571429,32.0,0.929289195188404,7
橙光游戏,75.8,95.0,13.8,0.7249368140366582,10
Ivanovich Games,75.55555555555556,98.77777777777777,10.666666666666666,0.7189120927615025,9
Hipix Studio,75.375,171.0,215.625,0.43755520693406996,8
КиКо,74.4,101.3,0.8,0.7374509001371634,10
Wastelands Interactive,74.375,149.125,79.0,0.45828335832070366,8
Aldorlea Games,74.0,95.375,87.125,0.7897836585656356,16
