appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,review_score,success,log_success,log_reviews,log_playtime
1045020,Blanket Heavy With Nightmares,2019-04-17,1,Clever Simulation Entertainment;Kajaani University Of Applied Sciences;Finnish Museum Association;Kajaani Art Museum;Artist Suvi Solkio,Clever Simulation Entertainment,windows,0,Single-player,Adventure,Adventure;VR,0,14,0,0,0,0-20000,0.0,14,1.0,14.0,2.70805020110221,2.70805020110221,0.0
1045130,Raatihuone,2019-04-17,0,Kainuu Museum;Kajaani University Of Applied Sciences;Finnish Museum Association;Clever Simulation Entertainment,Clever Simulation Entertainment,windows,0,Single-player,Adventure,Adventure;VR,0,3,0,0,0,0-20000,0.0,3,1.0,3.0,1.3862943611198906,1.3862943611198906,0.0
1045140,ESKO,2019-04-02,0,The Museum of Technology;Kajaani University Of Applied Sciences;Finnish Museum Association;Clever Simulation Entertainment,Clever Simulation Entertainment,windows,0,Single-player,Simulation,Simulation;VR,0,3,0,0,0,0-20000,0.0,3,1.0,3.0,1.3862943611198906,1.3862943611198906,0.0
1045850,The Walsingham Files - Chapter 1,2019-03-25,1,Sapphire Dragon Productions,Sapphire Dragon Productions,windows;mac,0,Single-player,Adventure;Casual;Free to Play;Indie,Adventure;Gore;Free to Play,5,11,1,0,0,0-20000,0.0,12,0.9166666666666666,11.0,2.4849066497880004,2.5649493574615367,0.0
1046370,Meaty McSkinBones,2019-04-24,1,Triplot Studio,Triplot Studio,windows,0,Single-player;Steam Achievements;Full controller support,Free to Play;Indie;Early Access,Early Access;Free to Play;Indie,9,8,5,0,0,0-20000,0.0,13,0.6153846153846154,8.0,2.19722457733622,2.6390573296152584,0.0
1046490,Easy Shooter,2019-04-12,1,Developer of Easy Shooter,Developer of Easy Shooter,windows,0,Online Multi-Player,Action;Massively Multiplayer;Early Access,Early Access;Action;Massively Multiplayer,0,13,9,0,0,0-20000,0.0,22,0.5909090909090909,13.0,2.6390573296152584,3.1354942159291497,0.0
1047190,Lantern of Worlds - The Story of Layla,2019-04-09,1,Fasold Games,Fasold Games,windows;mac,0,Single-player,Adventure;Indie;RPG,Adventure;Indie;RPG,0,4,0,0,0,0-20000,0.0,4,1.0,4.0,1.6094379124341005,1.6094379124341005,0.0
1047720,Dolphin Swim,2019-04-10,1,Marshall Latimer,Marshall Latimer,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Free to Play;Indie,Free to Play;Indie;Casual,6,8,6,0,0,0-20000,0.0,14,0.5714285714285714,8.0,2.19722457733622,2.70805020110221,0.0
1047910,Slow.Bullet VR,2019-04-18,1,Marco S. Hampel,Firez Studios,windows,0,Co-op;Shared/Split Screen,Action;Free to Play;Indie,Free to Play;Action;Indie,0,0,1,0,0,0-20000,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0
1048040,Exosphere,2019-04-06,1,Velikan,Velikan,windows,0,Single-player,Action;Adventure;Casual;Free to Play;Indie,Free to Play;Action;Indie,0,14,7,0,0,0-20000,0.0,21,0.6666666666666666,14.0,2.70805020110221,3.091042453358316,0.0
1048570,In the Pause Between the Ringing,2019-04-23,1,Studio Oleomingus,The Irregular Corporation,windows;mac;linux,0,Single-player;Partial Controller Support,Adventure;Casual;Free to Play;Indie,Free to Play;Adventure;Indie,0,6,4,0,0,0-20000,0.0,10,0.6,6.0,1.9459101490553128,2.3978952727983707,0.0
1048830,Horse Riding Tales,2019-04-12,1,Foxie Games,App Business Ventures LLC,windows,0,Single-player;Online Multi-Player;MMO;Cross-Platform Multiplayer;In-App Purchases,Action;Adventure;Casual;Free to Play;Massively Multiplayer;Racing;RPG;Simulation,Free to Play;Massively Multiplayer;Action,0,22,15,0,0,0-20000,0.0,37,0.5945945945945946,22.0,3.1354942159291497,3.6375861597263857,0.0
